rank_title,total_score,google_point,naver_point,google_ratio(%),naver_ratio(%),trend_type
날씨,88.57,38.57,50.0,43.5,56.5,⚖️ 플랫폼 균형 (Balanced)
울산날씨,53.03,9.29,43.74,17.5,82.5,🟢 네이버 강세 (Naver 주도)
강풍 경보,50.0,50.0,0.0,100.0,0.0,🔵 구글 강세 (Google 주도)
부산날씨,45.65,0.78,44.87,1.7,98.3,🟢 네이버 강세 (Naver 주도)
날씨예보,45.22,0.73,44.48,1.6,98.4,🟢 네이버 강세 (Naver 주도)
내일 날씨,37.7,35.0,2.7,92.8,7.2,🔵 구글 강세 (Google 주도)
일기예보,15.0,3.64,11.36,24.3,75.7,🟢 네이버 강세 (Naver 주도)
대구 날씨,6.64,0.78,5.85,11.8,88.2,🟢 네이버 강세 (Naver 주도)
天気,6.43,6.43,0.0,100.0,0.0,🔵 구글 강세 (Google 주도)
wind warning,6.43,6.43,0.0,100.0,0.0,🔵 구글 강세 (Google 주도)
