rank_title,total_score,google_point,naver_point,google_ratio(%),naver_ratio(%),trend_type
유튜브 문제가 발생했습니다,53.45,50.0,3.45,93.5,6.5,🔵 구글 강세 (Google 주도)
파반느,50.76,10.1,40.66,19.9,80.1,🟢 네이버 강세 (Naver 주도)
찬란한 너의 계절에,46.94,6.68,40.25,14.2,85.8,🟢 네이버 강세 (Naver 주도)
김은희,46.78,5.63,41.14,12.0,88.0,🟢 네이버 강세 (Naver 주도)
김규리,43.44,8.44,35.0,19.4,80.6,🟢 네이버 강세 (Naver 주도)
xg,41.86,1.67,40.19,4.0,96.0,🟢 네이버 강세 (Naver 주도)
윤영경,40.0,15.02,24.98,37.5,62.5,🟢 네이버 강세 (Naver 주도)
정동원,37.32,0.11,37.21,0.3,99.7,🟢 네이버 강세 (Naver 주도)
윤하,34.51,8.44,26.07,24.5,75.5,🟢 네이버 강세 (Naver 주도)
꽃분이,31.79,7.3,24.49,23.0,77.0,🟢 네이버 강세 (Naver 주도)
