rank_title,total_score,google_point,naver_point,google_ratio(%),naver_ratio(%),trend_type
김인호,57.71,50.0,7.71,86.6,13.4,🔵 구글 강세 (Google 주도)
sk하이닉스,55.7,22.72,32.98,40.8,59.2,⚖️ 플랫폼 균형 (Balanced)
비트코인,51.35,20.32,31.03,39.6,60.4,🟢 네이버 강세 (Naver 주도)
케이뱅크 공모주,48.2,12.12,36.08,25.1,74.9,🟢 네이버 강세 (Naver 주도)
달러 환율,38.68,0.35,38.32,0.9,99.1,🟢 네이버 강세 (Naver 주도)
기상청,35.23,3.78,31.45,10.7,89.3,🟢 네이버 강세 (Naver 주도)
우리기술,35.05,5.4,29.65,15.4,84.6,🟢 네이버 강세 (Naver 주도)
에어로케이,32.36,12.12,20.24,37.4,62.6,🟢 네이버 강세 (Naver 주도)
액스비스,27.17,0.6,26.57,2.2,97.8,🟢 네이버 강세 (Naver 주도)
에스팀,26.13,8.58,17.55,32.8,67.2,🟢 네이버 강세 (Naver 주도)
