rank_title,total_score,google_point,naver_point,google_ratio(%),naver_ratio(%),trend_type
엘에이 fc 대 인터 마이애미,50.0,50.0,0.0,100.0,0.0,🔵 구글 강세 (Google 주도)
인천유나이티드,47.62,0.0,47.62,0.0,100.0,🟢 네이버 강세 (Naver 주도)
mls,45.92,18.47,27.45,40.2,59.8,⚖️ 플랫폼 균형 (Balanced)
노시환,41.17,15.84,25.33,38.5,61.5,🟢 네이버 강세 (Naver 주도)
레알 에스파냐 대 엘에이 fc,32.48,32.48,0.0,100.0,0.0,🔵 구글 강세 (Google 주도)
토트넘 대 아스널,32.48,32.48,0.0,100.0,0.0,🔵 구글 강세 (Google 주도)
맨 시티 대 뉴캐슬,28.24,18.47,9.77,65.4,34.6,🔵 구글 강세 (Google 주도)
as 모나코 대 psg,23.73,23.72,0.01,100.0,0.0,🔵 구글 강세 (Google 주도)
psg 대 메스,23.72,23.72,0.0,100.0,0.0,🔵 구글 강세 (Google 주도)
울브스 대 아스널,23.72,23.72,0.0,100.0,0.0,🔵 구글 강세 (Google 주도)
