rank_title,google_volume,naver_trend_sum,naver_daily_ratio,google_absolute_volume,google_surge_ratio
파반느,"1만+
arrow_upward
500%",231.73,"[{'period': '2026-02-17', 'ratio': 5.57987}, {'period': '2026-02-18', 'ratio': 5.37413}, {'period': '2026-02-19', 'ratio': 4.34673}, {'period': '2026-02-20', 'ratio': 25.97981}, {'period': '2026-02-21', 'ratio': 68.19868}, {'period': '2026-02-22', 'ratio': 73.4927}, {'period': '2026-02-23', 'ratio': 48.76205}]",10000.0,500.0
김지호,"5천+
arrow_upward
900%",13.46,"[{'period': '2026-02-17', 'ratio': 0.43903}, {'period': '2026-02-18', 'ratio': 0.6031}, {'period': '2026-02-19', 'ratio': 0.56273}, {'period': '2026-02-20', 'ratio': 0.614}, {'period': '2026-02-21', 'ratio': 0.54863}, {'period': '2026-02-22', 'ratio': 0.63259}, {'period': '2026-02-23', 'ratio': 10.05864}]",5000.0,900.0
챈슬러,"200+
arrow_upward
300%",0.54,"[{'period': '2026-02-17', 'ratio': 0.03076}, {'period': '2026-02-18', 'ratio': 0.03396}, {'period': '2026-02-19', 'ratio': 0.0314}, {'period': '2026-02-20', 'ratio': 0.0314}, {'period': '2026-02-21', 'ratio': 0.04101}, {'period': '2026-02-22', 'ratio': 0.03332}, {'period': '2026-02-23', 'ratio': 0.34289}]",200.0,300.0
윤영경,"5천+
arrow_upward
900%",100.16,"[{'period': '2026-02-17', 'ratio': 0.01345}, {'period': '2026-02-18', 'ratio': 0.01153}, {'period': '2026-02-19', 'ratio': 0.0205}, {'period': '2026-02-20', 'ratio': 0.02499}, {'period': '2026-02-21', 'ratio': 0.01345}, {'period': '2026-02-22', 'ratio': 0.07242}, {'period': '2026-02-23', 'ratio': 100}]",5000.0,900.0
청년문화예술패스,"200+
arrow_upward
100%",20.2,"[{'period': '2026-02-17', 'ratio': 3.01041}, {'period': '2026-02-18', 'ratio': 3.3078}, {'period': '2026-02-19', 'ratio': 3.09053}, {'period': '2026-02-20', 'ratio': 2.55984}, {'period': '2026-02-21', 'ratio': 2.33488}, {'period': '2026-02-22', 'ratio': 2.73609}, {'period': '2026-02-23', 'ratio': 3.1591}]",200.0,100.0
sydney sweeney,"2천+
arrow_upward
1,000%",9.37,"[{'period': '2026-02-17', 'ratio': 1.58506}, {'period': '2026-02-18', 'ratio': 3.80415}, {'period': '2026-02-19', 'ratio': 1.30327}, {'period': '2026-02-20', 'ratio': 0.84536}, {'period': '2026-02-21', 'ratio': 0.84536}, {'period': '2026-02-22', 'ratio': 0.66924}, {'period': '2026-02-23', 'ratio': 0.31701}]",2000.0,1000.0
xg,"200+
arrow_upward
200%",260.9,"[{'period': '2026-02-17', 'ratio': 24.69179}, {'period': '2026-02-18', 'ratio': 26.91088}, {'period': '2026-02-19', 'ratio': 25.57238}, {'period': '2026-02-20', 'ratio': 28.91863}, {'period': '2026-02-21', 'ratio': 27.79147}, {'period': '2026-02-22', 'ratio': 27.01655}, {'period': '2026-02-23', 'ratio': 100}]",200.0,200.0
안소진,"500+
arrow_upward
300%",4.58,"[{'period': '2026-02-17', 'ratio': 0.28178}, {'period': '2026-02-18', 'ratio': 0.84536}, {'period': '2026-02-19', 'ratio': 0.73969}, {'period': '2026-02-20', 'ratio': 0.63402}, {'period': '2026-02-21', 'ratio': 0.66924}, {'period': '2026-02-22', 'ratio': 0.81014}, {'period': '2026-02-23', 'ratio': 0.5988}]",500.0,300.0
김규리,"500+
arrow_upward
600%",315.89,"[{'period': '2026-02-17', 'ratio': 70.37689}, {'period': '2026-02-18', 'ratio': 42.97287}, {'period': '2026-02-19', 'ratio': 37.16097}, {'period': '2026-02-20', 'ratio': 38.67558}, {'period': '2026-02-21', 'ratio': 39.97886}, {'period': '2026-02-22', 'ratio': 45.72032}, {'period': '2026-02-23', 'ratio': 41.00035}]",500.0,600.0
윤하,"500+
arrow_upward
600%",225.54,"[{'period': '2026-02-17', 'ratio': 44.41704}, {'period': '2026-02-18', 'ratio': 38.04156}, {'period': '2026-02-19', 'ratio': 25.1497}, {'period': '2026-02-20', 'ratio': 28.53117}, {'period': '2026-02-21', 'ratio': 28.53117}, {'period': '2026-02-22', 'ratio': 26.38252}, {'period': '2026-02-23', 'ratio': 34.48397}]",500.0,600.0
에반게리온,"1천+
arrow_upward
200%",6.24,"[{'period': '2026-02-17', 'ratio': 0.82582}, {'period': '2026-02-18', 'ratio': 0.81951}, {'period': '2026-02-19', 'ratio': 0.8957}, {'period': '2026-02-20', 'ratio': 0.8203}, {'period': '2026-02-21', 'ratio': 0.86806}, {'period': '2026-02-22', 'ratio': 0.9936}, {'period': '2026-02-23', 'ratio': 1.01965}]",1000.0,200.0
찬란한 너의 계절에,"5천+
arrow_upward
400%",260.69,"[{'period': '2026-02-17', 'ratio': 4.15757}, {'period': '2026-02-18', 'ratio': 3.65228}, {'period': '2026-02-19', 'ratio': 5.29091}, {'period': '2026-02-20', 'ratio': 79.46913}, {'period': '2026-02-21', 'ratio': 100}, {'period': '2026-02-22', 'ratio': 48.50486}, {'period': '2026-02-23', 'ratio': 19.62016}]",5000.0,400.0
