rank_title,google_volume,naver_trend_sum,naver_daily_ratio,google_absolute_volume,google_surge_ratio
에버턴 대 맨유,"2만+
arrow_upward
1,000%",0.0,[],20000.0,1000.0
토트넘 대 아스널,"10만+
arrow_upward
1,000%",0.0,[],100000.0,1000.0
엘에이 fc 대 인터 마이애미,"20만+
arrow_upward
1,000%",0.0,"[{'period': '2026-02-22', 'ratio': 0.00357}]",200000.0,1000.0
psg 대 메스,"5만+
arrow_upward
1,000%",0.0,[],50000.0,1000.0
노시환,"5천+
arrow_upward
1,000%",105.65,"[{'period': '2026-02-17', 'ratio': 0.65983}, {'period': '2026-02-18', 'ratio': 0.68128}, {'period': '2026-02-19', 'ratio': 0.76206}, {'period': '2026-02-20', 'ratio': 1.37757}, {'period': '2026-02-21', 'ratio': 1.3547}, {'period': '2026-02-22', 'ratio': 0.81425}, {'period': '2026-02-23', 'ratio': 100}]",5000.0,1000.0
레알 에스파냐 대 엘에이 fc,"10만+
arrow_upward
1,000%",0.0,[],100000.0,1000.0
노팅엄 포레스트 대 리버풀,"2만+
arrow_upward
1,000%",0.0,[],20000.0,1000.0
바르셀로나 대 레반테,"1만+
arrow_upward
1,000%",0.0,[],10000.0,1000.0
맨 시티 대 뉴캐슬,"2만+
arrow_upward
1,000%",100.0,"[{'period': '2026-02-22', 'ratio': 100}]",20000.0,1000.0
바이에른 대 아인트라흐트,"2만+
arrow_upward
1,000%",0.0,[],20000.0,1000.0
오사수나 대 레알 마드리드,"2만+
arrow_upward
1,000%",0.0,[],20000.0,1000.0
mls,"2만+
arrow_upward
1,000%",161.02,"[{'period': '2026-02-17', 'ratio': 3.10699}, {'period': '2026-02-18', 'ratio': 10.08029}, {'period': '2026-02-19', 'ratio': 7.52312}, {'period': '2026-02-20', 'ratio': 7.4533}, {'period': '2026-02-21', 'ratio': 14.15604}, {'period': '2026-02-22', 'ratio': 100}, {'period': '2026-02-23', 'ratio': 18.70308}]",20000.0,1000.0
울브스 대 아스널,"5만+
arrow_upward
1,000%",0.0,[],50000.0,1000.0
west indies vs zimbabwe,"2천+
arrow_upward
1,000%",0.0,[],2000.0,1000.0
첼시 대 번리,"1만+
arrow_upward
1,000%",0.0,[],10000.0,1000.0
as 모나코 대 psg,"5만+
arrow_upward
1,000%",0.11,"[{'period': '2026-02-18', 'ratio': 0.11415}]",50000.0,1000.0
인천유나이티드,"200+
arrow_upward
500%",358.07,"[{'period': '2026-02-17', 'ratio': 30.21308}, {'period': '2026-02-18', 'ratio': 33.98021}, {'period': '2026-02-19', 'ratio': 44.08295}, {'period': '2026-02-20', 'ratio': 49.54337}, {'period': '2026-02-21', 'ratio': 46.34703}, {'period': '2026-02-22', 'ratio': 53.9003}, {'period': '2026-02-23', 'ratio': 100}]",200.0,500.0
골든 스테이트 대 덴버,"2천+
arrow_upward
1,000%",0.0,[],2000.0,1000.0
